sample	aliquot	type	injection	replicate	batch	order	datetime	compound	rt	area	compound_is	rt_is	area_is
s197	s197_a1	sample	1	a	1	26	2015-03-05 22:49:00	8-iso-PGF3a	3.698	14362	8-iso-PGF3a_ISTD	4.646	47617
s073	s073_a1	sample	1	a	1	27	2015-03-05 23:04:00	23-dinor-11b-PGF2a	4.028	2834	23-dinor-11b-PGF2a_ISTD	5.204	213630
s073	s073_a1	sample	1	a	1	27	2015-03-05 23:04:00	23-dinor-8-iso-PGF2a	3.447	706	23-dinor-8-iso-PGF2a_ISTD	4.644	44399
s073	s073_a1	sample	1	a	1	27	2015-03-05 23:04:00	8-iso-PGF3a	3.681	12166	8-iso-PGF3a_ISTD	4.644	44399
s098	s098_a1	sample	1	a	1	28	2015-03-05 23:18:00	23-dinor-11b-PGF2a	4.012	1162	23-dinor-11b-PGF2a_ISTD	5.208	208835
s098	s098_a1	sample	1	a	1	28	2015-03-05 23:18:00	23-dinor-8-iso-PGF2a	3.398	857	23-dinor-8-iso-PGF2a_ISTD	4.647	48010
s098	s098_a1	sample	1	a	1	28	2015-03-05 23:18:00	8-iso-PGF3a	3.959	7393	8-iso-PGF3a_ISTD	4.647	48010
s164	s164_a1	sample	1	a	1	29	2015-03-05 23:33:00	23-dinor-11b-PGF2a	4.01	809	23-dinor-11b-PGF2a_ISTD	5.202	169899
s164	s164_a1	sample	1	a	1	29	2015-03-05 23:33:00	23-dinor-8-iso-PGF2a	3.393	1802	23-dinor-8-iso-PGF2a_ISTD	4.639	41199
s164	s164_a1	sample	1	a	1	29	2015-03-05 23:33:00	8-iso-PGF3a	3.721	7300	8-iso-PGF3a_ISTD	4.639	41199
s013	s013_a1	sample	1	a	1	30	2015-03-05 23:47:00	23-dinor-11b-PGF2a	4.028	623	23-dinor-11b-PGF2a_ISTD	5.213	186985
s013	s013_a1	sample	1	a	1	30	2015-03-05 23:47:00	23-dinor-8-iso-PGF2a	3.463	331	23-dinor-8-iso-PGF2a_ISTD	4.651	46407
s013	s013_a1	sample	1	a	1	30	2015-03-05 23:47:00	8-iso-PGF3a			8-iso-PGF3a_ISTD	4.651	46407
s007	s007_a1	sample	1	a	1	31	2015-03-06 00:01:00	23-dinor-11b-PGF2a	4.028	2040	23-dinor-11b-PGF2a_ISTD	5.208	194466
s007	s007_a1	sample	1	a	1	31	2015-03-06 00:01:00	23-dinor-8-iso-PGF2a	3.443	1796	23-dinor-8-iso-PGF2a_ISTD	4.643	45726
s007	s007_a1	sample	1	a	1	31	2015-03-06 00:01:00	8-iso-PGF3a	3.758	19025	8-iso-PGF3a_ISTD	4.643	45726
s110	s110_a1	sample	1	a	1	32	2015-03-06 00:16:00	23-dinor-11b-PGF2a			23-dinor-11b-PGF2a_ISTD	5.212	149042
s110	s110_a1	sample	1	a	1	32	2015-03-06 00:16:00	23-dinor-8-iso-PGF2a	3.418	549	23-dinor-8-iso-PGF2a_ISTD	4.651	34582
s110	s110_a1	sample	1	a	1	32	2015-03-06 00:16:00	8-iso-PGF3a	3.677	5808	8-iso-PGF3a_ISTD	4.651	34582
s0001_qc	s0001qc_c2	qc	2	c	1	33	2015-03-06 00:30:00	23-dinor-11b-PGF2a	4.007	199	23-dinor-11b-PGF2a_ISTD	5.206	153028
s0001_qc	s0001qc_c2	qc	2	c	1	33	2015-03-06 00:30:00	23-dinor-8-iso-PGF2a	3.463	764	23-dinor-8-iso-PGF2a_ISTD	4.646	34211
s0001_qc	s0001qc_c2	qc	2	c	1	33	2015-03-06 00:30:00	8-iso-PGF3a	3.685	7330	8-iso-PGF3a_ISTD	4.646	34211
s126	s126_a1	sample	1	a	1	34	2015-03-06 00:45:00	23-dinor-11b-PGF2a	4.019	1778	23-dinor-11b-PGF2a_ISTD	5.206	195554
s126	s126_a1	sample	1	a	1	34	2015-03-06 00:45:00	23-dinor-8-iso-PGF2a	3.405	1241	23-dinor-8-iso-PGF2a_ISTD	4.639	42257
s126	s126_a1	sample	1	a	1	34	2015-03-06 00:45:00	8-iso-PGF3a	3.738	2841	8-iso-PGF3a_ISTD	4.639	42257
s165	s165_a1	sample	1	a	1	35	2015-03-06 00:59:00	23-dinor-11b-PGF2a	4.014	251	23-dinor-11b-PGF2a_ISTD	5.208	165517
s165	s165_a1	sample	1	a	1	35	2015-03-06 00:59:00	23-dinor-8-iso-PGF2a	3.443	686	23-dinor-8-iso-PGF2a_ISTD	4.646	42307
s165	s165_a1	sample	1	a	1	35	2015-03-06 00:59:00	8-iso-PGF3a	3.677	3584	8-iso-PGF3a_ISTD	4.646	42307
