sample	aliquot	type	injection	replicate	batch	order	datetime	compound	rt	area	compound_is	rt_is	area_is
s02_cal6	s02cal6_a2	cal	2	a	2	77	1970-01-03 08:34:37	L-4-hydroxy-proline	1.40	185185	L-4-hydroxy-proline_ISTD		131376
s02_cal6	s02cal6_a2	cal	2	a	2	77	1970-01-03 08:34:37	L-4-hydroxy-proline	1.42	186913	L-4-hydroxy-proline_ISTD		134628
s02_cal6	s02cal6_a2	cal	2	a	2	77	1970-01-03 08:34:37	L-histidine	1.48	76209	L-histidine_ISTD		131376
s02_cal6	s02cal6_a2	cal	2	a	2	77	1970-01-03 08:34:37	L-histidine	1.50	80686	L-histidine_ISTD		134628
s02_cal6	s02cal6_a2	cal	2	a	2	77	1970-01-03 08:34:37	o-phosphoethanolamine	1.67	179723	o-phosphoethanolamine_ISTD		131376
s02_cal6	s02cal6_a2	cal	2	a	2	77	1970-01-03 08:34:37	o-phosphoethanolamine	1.69	187652	o-phosphoethanolamine_ISTD		134628
s02_cal7	s02cal7_a2	cal	2	a	2	78	1970-01-03 08:34:38	L-4-hydroxy-proline	1.41	369323	L-4-hydroxy-proline_ISTD		132360
s02_cal7	s02cal7_a2	cal	2	a	2	78	1970-01-03 08:34:38	L-4-hydroxy-proline	1.41	373090	L-4-hydroxy-proline_ISTD		137551
s02_cal7	s02cal7_a2	cal	2	a	2	78	1970-01-03 08:34:38	L-histidine	1.48	134709	L-histidine_ISTD		132360
s02_cal7	s02cal7_a2	cal	2	a	2	78	1970-01-03 08:34:38	L-histidine	1.50	139571	L-histidine_ISTD		137551
s02_cal7	s02cal7_a2	cal	2	a	2	78	1970-01-03 08:34:38	o-phosphoethanolamine	1.67	337172	o-phosphoethanolamine_ISTD		132360
s02_cal7	s02cal7_a2	cal	2	a	2	78	1970-01-03 08:34:38	o-phosphoethanolamine	1.69	344606	o-phosphoethanolamine_ISTD		137551
s02_cal8	s02cal8_a2	cal	2	a	2	79	1970-01-03 08:34:39	L-4-hydroxy-proline	1.40	775980	L-4-hydroxy-proline_ISTD		134380
s02_cal8	s02cal8_a2	cal	2	a	2	79	1970-01-03 08:34:39	L-4-hydroxy-proline	1.42	821198	L-4-hydroxy-proline_ISTD		144487
s02_cal8	s02cal8_a2	cal	2	a	2	79	1970-01-03 08:34:39	L-histidine	1.49	246743	L-histidine_ISTD		134380
s02_cal8	s02cal8_a2	cal	2	a	2	79	1970-01-03 08:34:39	L-histidine	1.50	266446	L-histidine_ISTD		144487
s02_cal8	s02cal8_a2	cal	2	a	2	79	1970-01-03 08:34:39	o-phosphoethanolamine	1.67	593874	o-phosphoethanolamine_ISTD		134380
s02_cal8	s02cal8_a2	cal	2	a	2	79	1970-01-03 08:34:39	o-phosphoethanolamine	1.69	620873	o-phosphoethanolamine_ISTD		144487
s02_qc	s02qc_g2	qc	2	g	2	92	1970-01-03 08:34:52	L-4-hydroxy-proline	1.41	17996	L-4-hydroxy-proline_ISTD		136115
s02_qc	s02qc_g2	qc	2	g	2	92	1970-01-03 08:34:52	L-4-hydroxy-proline	1.41	17483	L-4-hydroxy-proline_ISTD		137902
s02_qc	s02qc_g2	qc	2	g	2	92	1970-01-03 08:34:52	L-4-hydroxy-proline	1.41	20873	L-4-hydroxy-proline_ISTD		146372
s02_qc	s02qc_g2	qc	2	g	2	92	1970-01-03 08:34:52	L-4-hydroxy-proline	1.41	20044	L-4-hydroxy-proline_ISTD		141369
s02_qc	s02qc_g2	qc	2	g	2	92	1970-01-03 08:34:52	L-4-hydroxy-proline	1.41	17832	L-4-hydroxy-proline_ISTD		138927
s02_qc	s02qc_g2	qc	2	g	2	92	1970-01-03 08:34:52	L-4-hydroxy-proline	1.42	17888	L-4-hydroxy-proline_ISTD		139757
s02_qc	s02qc_g2	qc	2	g	2	92	1970-01-03 08:34:52	L-4-hydroxy-proline	1.43	18967	L-4-hydroxy-proline_ISTD		148541
s02_qc	s02qc_g2	qc	2	g	2	92	1970-01-03 08:34:52	L-4-hydroxy-proline	1.42	18794	L-4-hydroxy-proline_ISTD		146492
s02_qc	s02qc_g2	qc	2	g	2	92	1970-01-03 08:34:52	L-4-hydroxy-proline	1.41	18752	L-4-hydroxy-proline_ISTD		147203
s02_qc	s02qc_g2	qc	2	g	2	92	1970-01-03 08:34:52	L-4-hydroxy-proline	1.41	17989	L-4-hydroxy-proline_ISTD		151775
s02_qc	s02qc_g2	qc	2	g	2	92	1970-01-03 08:34:52	L-4-hydroxy-proline	1.41	18225	L-4-hydroxy-proline_ISTD		150575
s02_qc	s02qc_g2	qc	2	g	2	92	1970-01-03 08:34:52	L-4-hydroxy-proline	1.41	19211	L-4-hydroxy-proline_ISTD		147728
s02_qc	s02qc_g2	qc	2	g	2	92	1970-01-03 08:34:52	L-4-hydroxy-proline	1.41	19155	L-4-hydroxy-proline_ISTD		145221
s02_qc	s02qc_g2	qc	2	g	2	92	1970-01-03 08:34:52	L-histidine	1.48	23524	L-histidine_ISTD		136115
s02_qc	s02qc_g2	qc	2	g	2	92	1970-01-03 08:34:52	L-histidine	1.48	24038	L-histidine_ISTD		137902
s02_qc	s02qc_g2	qc	2	g	2	92	1970-01-03 08:34:52	L-histidine	1.49	28041	L-histidine_ISTD		146372
s02_qc	s02qc_g2	qc	2	g	2	92	1970-01-03 08:34:52	L-histidine	1.50	26048	L-histidine_ISTD		141369
s02_qc	s02qc_g2	qc	2	g	2	92	1970-01-03 08:34:52	L-histidine	1.49	23970	L-histidine_ISTD		138927
s02_qc	s02qc_g2	qc	2	g	2	92	1970-01-03 08:34:52	L-histidine	1.50	24359	L-histidine_ISTD		139757
s02_qc	s02qc_g2	qc	2	g	2	92	1970-01-03 08:34:52	L-histidine	1.50	26125	L-histidine_ISTD		148541
s02_qc	s02qc_g2	qc	2	g	2	92	1970-01-03 08:34:52	L-histidine	1.50	25187	L-histidine_ISTD		146492
s02_qc	s02qc_g2	qc	2	g	2	92	1970-01-03 08:34:52	L-histidine	1.49	25531	L-histidine_ISTD		147203
s02_qc	s02qc_g2	qc	2	g	2	92	1970-01-03 08:34:52	L-histidine	1.50	25354	L-histidine_ISTD		151775
s02_qc	s02qc_g2	qc	2	g	2	92	1970-01-03 08:34:52	L-histidine	1.49	24839	L-histidine_ISTD		150575
s02_qc	s02qc_g2	qc	2	g	2	92	1970-01-03 08:34:52	L-histidine	1.49	25959	L-histidine_ISTD		147728
s02_qc	s02qc_g2	qc	2	g	2	92	1970-01-03 08:34:52	L-histidine	1.48	25149	L-histidine_ISTD		145221
s02_qc	s02qc_g2	qc	2	g	2	92	1970-01-03 08:34:52	o-phosphoethanolamine	1.69	1238	o-phosphoethanolamine_ISTD		136115
s02_qc	s02qc_g2	qc	2	g	2	92	1970-01-03 08:34:52	o-phosphoethanolamine	1.68	1199	o-phosphoethanolamine_ISTD		137902
s02_qc	s02qc_g2	qc	2	g	2	92	1970-01-03 08:34:52	o-phosphoethanolamine	1.69	1247	o-phosphoethanolamine_ISTD		146372
s02_qc	s02qc_g2	qc	2	g	2	92	1970-01-03 08:34:52	o-phosphoethanolamine	1.68	1316	o-phosphoethanolamine_ISTD		141369
s02_qc	s02qc_g2	qc	2	g	2	92	1970-01-03 08:34:52	o-phosphoethanolamine	1.69	1158	o-phosphoethanolamine_ISTD		138927
