ID#	1							
Name	2_3-dinor-8-iso-PGF2a							
	Data Filename	Sample Type	Ret. Time	Area	S/N	ISTD Area	ISTD Ret.Time	Date Acquired
13	S0002CAL4_A1.lcd	Unknown	3,896	1188	0,99	202267	5,055	11/03/15 14:10
14	S0002CAL4_A2.lcd	Unknown	3,914	1171	22,06	174383	5,093	12/03/15 17:46
15	S0002CAL5_A1.lcd	Unknown	3,875	1574	0,86	185426	5,05	11/03/15 14:25
16	S0002CAL5_A2.lcd	Unknown	3,917	1059	10,4	147047	5,093	12/03/15 18:01
17	S0002CAL6_A1.lcd	Unknown	3,885	1222	0,56	191126	5,053	11/03/15 14:39
18	S0002CAL6_A2.lcd	Unknown	3,922	1328	1,18	165008	5,092	12/03/15 18:15
19	S0002QC_A1.lcd	Unknown	3,878	1139	31,68	175721	5,054	11/03/15 12:29
20	S0002QC_A2.lcd	Unknown	3,888	796	75,19	159724	5,056	11/03/15 12:58
21	S0002QC_B1.lcd	Unknown	3,888	749	43,29	179984	5,06	11/03/15 14:54
22	S0002QC_B2.lcd	Unknown	3,834	35	1,72	174938	5,057	11/03/15 15:22
23	S0002QC_C1.lcd	Unknown	3,878	765	31,53	183856	5,049	11/03/15 17:47
24	S0002QC_C2.lcd	Unknown	3,943	658	36,44	149569	5,129	12/03/15 00:44
25	S0002QC_D1.lcd	Unknown	3,935	787	66,72	150096	5,127	12/03/15 03:23
26	S0002QC_D2.lcd	Unknown	3,947	814	54,74	143183	5,129	12/03/15 06:01
27	S0002QC_E1.lcd	Unknown	3,933	770	46	167498	5,108	12/03/15 08:39
28	S0002QC_E2.lcd	Unknown	3,912	829	35,25	181182	5,094	12/03/15 11:18
29	S0002QC_F1.lcd	Unknown	3,932	697	32,76	141263	5,106	12/03/15 13:56
30	S0002QC_G1.lcd	Unknown	3,924	994	34,45	137414	5,099	12/03/15 16:06
31	S0002QC_G2.lcd	Unknown	3,922	845	54,98	138702	5,088	12/03/15 16:34
32	S0002QC_H1.lcd	Unknown	3,93	782	59,03	136986	5,106	12/03/15 18:30
33	S0002QC_H2.lcd	Unknown	3,922	684	53,29	136868	5,1	12/03/15 18:58
34	S001_A1.lcd	Unknown	3,909	921	52,41	171705	5,094	12/03/15 13:42
35	S004_A1.lcd	Unknown	3,923	1164	38,02	151389	5,103	12/03/15 08:25
36	S005_A1.lcd	Unknown	-----	-----	-----	152369	5,101	12/03/15 09:23
37	S008_A1.lcd	Unknown	3,927	282	18,98	134417	5,129	12/03/15 04:49
38	S009_A1.lcd	Unknown	3,946	143	13,46	127629	5,132	12/03/15 03:08
39	S012_A1.lcd	Unknown	-----	-----	-----	139012	5,053	11/03/15 16:49
40	S014_A1.lcd	Unknown	3,908	334	10,13	161452	5,094	12/03/15 10:49
