Sample Name	Acquisition Date & Time	Component Name	Area	IS Area	IS Name	Area Ratio	Retention Time	IS Retention Time
S0001BLANK_A2	08/13/2015 20:42:20	1-OG-Q	3395.91249999999	453.274278265006	2AG-ISTD	7.99277738963831	5.85936333333333	4.94031656079435
S0001QC_B1	08/13/2015 20:55:01	2-LG-Q	25227.9153036589	32358.1903486117	2AG-ISTD	0.779441465419929	4.72350820531638	4.63319986907322
S0001QC_B1	08/13/2015 20:55:01	1-LG-Q	224164.760579724	32358.1903486117	2AG-ISTD	6.92760497928591	4.95764650732832	4.63319986907322
S0001QC_B1	08/13/2015 20:55:01	1-OG-Q	880712.488000002	32358.1903486117	2AG-ISTD	27.217606377601	6.19947210354385	4.63319986907322
S0040_A1	08/13/2015 21:07:44	2-LG-Q	34955.0644598727	27093.8623050817	2AG-ISTD	7.28986133089385	4.72133537535878	4.6298752444159
S0040_A1	08/13/2015 21:07:44	1-LG-Q	282596.00100567	27093.8623050817	2AG-ISTD	10.4279497004189	4.95691483959696	4.6298752444159
S0040_A1	08/13/2015 21:07:44	1-OG-Q	1411645.8365	27093.8623050817	2AG-ISTD	52.0905169409401	6.19576327444612	4.6298752444159
S0029_A1	08/13/2015 21:20:25	2-LG-Q	25195.7806096536	25177.189002503	2AG-ISTD	7.00073843061466	4.7233871982972	4.62886184840484
S0029_A1	08/13/2015 21:20:25	1-LG-Q	224650.815641547	25177.189002503	2AG-ISTD	8.92279180250078	4.95667785917224	4.62886184840484
S0029_A1	08/13/2015 21:20:25	1-OG-Q	1266237.186	25177.189002503	2AG-ISTD	50.2927942382335	6.19417008415838	4.62886184840484
S0019_A1	08/13/2015 21:33:06	2-LG-Q	25623.9871077247	35134.990236316	2AG-ISTD	0.729296479471545	4.72438035136379	4.6267286811672
S0019_A1	08/13/2015 21:33:06	1-LG-Q	242623.103635472	35134.990236316	2AG-ISTD	6.90574397345548	4.95563544010911	4.6267286811672
S0019_A1	08/13/2015 21:33:06	1-OG-Q	940784.950499997	35134.990236316	2AG-ISTD	26.7767547457696	6.19416597434827	4.6267286811672
S0021_A1	08/13/2015 21:45:48	2-LG-Q	19014.1286199418	21277.2479183857	2AG-ISTD	0.893888722133084	4.72113636586184	4.62941005472122
S0021_A1	08/13/2015 21:45:48	1-LG-Q	163537.253901523	21277.2479183857	2AG-ISTD	7.68790127071839	4.95624805246227	4.62941005472122
S0021_A1	08/13/2015 21:45:48	1-OG-Q	962407.826000003	21277.2479183857	2AG-ISTD	45.2442578683011	6.19740245592301	4.62941005472122
S0006_A1	08/13/2015 21:58:30	2-LG-Q	21295.9523734556	25407.9058115288	2AG-ISTD	0.838182235118858	4.72138927881282	4.62560141744145
S0006_A1	08/13/2015 21:58:30	1-LG-Q	209976.189022912	25407.9058115288	2AG-ISTD	8.26440200234192	4.95602860066941	4.62560141744145
